Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  
10   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8619739E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8633023E-01   1.8590361E-01   1.8692572E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01  
11   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8692572E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8619739E-01  
12   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
13   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
14   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
15   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
1   1.0000000E+10   1.6442825E-01   1.6442825E-01   1.0000000E+10   1.6442825E-01   1.0000000E+10   1.0000000E+10   1.6442825E-01   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.6442825E-01   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.6442825E-01   1.6442825E-01   1.6442825E-01   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.6442825E-01   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10  
16   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
2   1.6545019E-01   1.5701479E-01   1.5701479E-01   2.4055167E-01   1.5701479E-01   2.4055167E-01   1.4215599E-01   1.6332583E-01   2.0343993E-01   2.5767897E-01   1.4215599E-01   1.7866959E-01   1.7866959E-01   1.8533305E-01   1.5701479E-01   1.8356267E-01   1.6332583E-01   2.0343993E-01   1.4215599E-01   1.6332583E-01   1.4215599E-01   1.5701479E-01   1.6976157E-01   1.6309816E-01   1.6309816E-01   2.5320856E-01   1.6545019E-01   1.6630697E-01   2.5564158E-01   1.4215599E-01   1.9883194E-01   1.6309816E-01   1.6630697E-01   1.8356267E-01   1.4215599E-01   1.6055929E-01   1.6055929E-01   1.6630697E-01   1.5701479E-01   1.6332583E-01  
17   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
18   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
19   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
20   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
21   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
3   1.6055929E-01   1.5701479E-01   1.5701479E-01   1.6545019E-01   1.5701479E-01   1.8533305E-01   1.4215599E-01   1.4215599E-01   1.6630697E-01   1.6332583E-01   1.4215599E-01   1.6608069E-01   1.6332583E-01   1.6545019E-01   1.5701479E-01   1.8356267E-01   1.6332583E-01   2.0343993E-01   1.4215599E-01   1.5701479E-01   1.4215599E-01   1.5701479E-01   1.6608069E-01   1.6309816E-01   1.6309816E-01   1.6630697E-01   1.6055929E-01   1.6630697E-01   1.7551874E-01   1.4215599E-01   1.9883194E-01   1.6309816E-01   1.6311487E-01   1.8356267E-01   1.4215599E-01   1.6055929E-01   1.6055929E-01   1.5701479E-01   1.5701479E-01   1.4215599E-01  
1   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10   1.0000000E+10  
22   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
23   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01   1.8590361E-01  
